team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Wizards,125,0.5055,0.3636,0.6364,8,33,25,7,4,15,2018-12-12
Celtics,104,0.4149,0.2727,0.5152,12,32,19,11,4,14,2018-12-15
Pistons,113,0.4875,0.3333,0.8333,10,38,25,10,7,18,2018-12-15
Suns,111,0.4271,0.4074,0.6667,21,35,23,8,6,17,2018-12-19
Celtics,103,0.4471,0.3846,0.3077,9,28,26,13,15,16,2018-12-19
Bucks,120,0.5125,0.4,0.55,11,44,26,3,6,20,2018-12-21
Celtics,107,0.3846,0.2941,0.7941,9,27,22,13,3,5,2018-12-21
Hornets,103,0.4318,0.25,0.5938,9,28,24,9,5,9,2018-12-23
Celtics,119,0.5,0.3333,0.5128,11,36,30,8,4,14,2018-12-23
76ers,114,0.413,0.375,0.575,9,47,25,6,4,19,2018-12-25
Celtics,121,0.4167,0.3415,0.4146,13,42,21,8,4,9,2018-12-25
Celtics,113,0.4691,0.3871,0.8065,6,31,28,9,3,11,2018-12-27
Rockets,127,0.4767,0.4,0.6,16,39,17,4,4,13,2018-12-27
Celtics,112,0.5,0.4444,0.4444,7,29,29,10,4,17,2018-12-29
Grizzlies,103,0.4737,0.2692,0.9231,8,28,24,11,2,16,2018-12-29
Celtics,111,0.4886,0.3235,0.4118,9,31,30,5,8,12,2018-12-31
Spurs,120,0.4945,0.5385,0.6154,8,35,27,6,4,11,2018-12-31
Timberwolves,102,0.4762,0.3043,0.6522,8,26,24,7,2,14,2019-01-02
Celtics,115,0.5921,0.4,0.4333,3,30,34,10,9,16,2019-01-02
Mavericks,93,0.3864,0.25,0.3182,11,38,16,9,2,14,2019-01-04
Celtics,114,0.4375,0.4667,0.2,14,39,35,12,4,12,2019-01-04
Pacers,108,0.4286,0.3214,0.75,12,27,26,6,0,11,2019-01-09
Celtics,135,0.5682,0.4375,0.6562,9,39,32,7,7,13,2019-01-09
Celtics,99,0.4045,0.3529,0.4412,9,28,20,5,8,10,2019-01-10
Heat,115,0.4792,0.4615,0.1282,10,41,33,7,4,8,2019-01-10
Celtics,103,0.4222,0.25,0.5938,10,36,19,7,3,8,2019-01-12
Magic,105,0.4286,0.2895,0.5789,9,41,21,2,5,15,2019-01-12
Raptors,108,0.4457,0.2414,0.6552,14,28,20,9,2,10,2019-01-16
Celtics,117,0.5,0.4667,0.3667,14,35,32,7,6,14,2019-01-16
Grizzlies,116,0.4457,0.4571,0.5143,9,30,33,11,5,9,2019-01-18
Celtics,122,0.5116,0.4474,0.4474,10,42,29,5,9,17,2019-01-18
Heat,99,0.4186,0.3143,0.4571,10,28,25,11,5,19,2019-01-21
Celtics,107,0.4943,0.4,0.3,8,28,26,13,7,19,2019-01-21
Cavaliers,103,0.4368,0.4333,0.4667,15,29,20,4,4,20,2019-01-23
Celtics,123,0.5233,0.48,0.84,9,34,25,12,5,14,2019-01-23
Warriors,115,0.4458,0.3636,0.8788,11,42,25,8,7,14,2019-01-26
Celtics,111,0.4141,0.375,0.35,15,34,23,6,4,14,2019-01-26
Hornets,94,0.4382,0.325,0.075,7,24,20,7,5,12,2019-01-30
Celtics,126,0.5556,0.4138,0.4828,12,41,34,10,7,10,2019-01-30
Celtics,113,0.46,0.3514,0.2162,11,32,25,11,7,7,2019-02-01
Knicks,99,0.4535,0.2903,0.3871,8,40,21,2,2,17,2019-02-01
Thunder,129,0.4891,0.4,0.7143,11,31,25,12,5,11,2019-02-03
Celtics,134,0.5934,0.3824,0.3824,5,33,36,8,6,14,2019-02-03
Celtics,103,0.4878,0.3462,0.5385,8,34,29,10,10,13,2019-02-05
Cavaliers,96,0.4167,0.2727,0.2121,15,32,21,6,0,12,2019-02-05
Lakers,129,0.5155,0.5366,0.1707,10,33,35,5,6,8,2019-02-07
Celtics,128,0.4894,0.4211,0.5263,11,37,35,7,5,8,2019-02-07
Clippers,123,0.4762,0.4,1.0333,6,43,28,6,6,17,2019-02-09
Celtics,112,0.4239,0.3462,0.9615,8,37,21,9,3,12,2019-02-09
Celtics,112,0.4659,0.4483,0.5862,8,33,24,9,3,5,2019-02-12
76ers,109,0.4875,0.3333,0.8148,10,37,21,4,3,14,2019-02-12
Pistons,110,0.4286,0.325,0.625,10,31,19,7,1,11,2019-02-13
Celtics,118,0.5114,0.4103,0.3077,10,37,32,8,2,16,2019-02-13
Celtics,97,0.3824,0.35,0.125,12,38,19,11,9,7,2019-02-21
Bucks,98,0.4205,0.359,0.2564,9,46,21,5,4,15,2019-02-21
Celtics,116,0.4891,0.3448,0.5517,6,26,26,6,7,7,2019-02-23
Bulls,126,0.5341,0.4,0.6667,11,38,26,4,2,13,2019-02-23
Celtics,95,0.3837,0.2,0.7667,10,37,24,6,4,14,2019-02-26
Raptors,118,0.4894,0.4722,0.25,8,37,33,7,5,8,2019-02-26
Trail Blazers,97,0.4222,0.1818,0.4545,13,35,14,11,2,11,2019-02-27
Celtics,92,0.4651,0.1786,0.25,8,33,20,5,4,16,2019-02-27
Wizards,96,0.4045,0.2632,0.3684,11,42,20,7,6,18,2019-03-01
Celtics,107,0.4468,0.2857,0.3714,11,35,26,12,3,12,2019-03-01
Rockets,115,0.475,0.4118,0.3529,10,32,22,8,4,12,2019-03-03
Celtics,104,0.4805,0.2857,0.7857,8,36,23,7,0,13,2019-03-03
Celtics,128,0.5104,0.4118,0.4706,9,37,38,12,5,11,2019-03-05
Warriors,95,0.4,0.2286,0.5429,9,36,26,5,2,21,2019-03-05
Celtics,111,0.5063,0.3939,0.5455,3,32,26,11,1,17,2019-03-06
Kings,109,0.5,0.4483,0.5517,6,34,23,8,4,15,2019-03-06
Celtics,120,0.5161,0.3684,0.2632,6,37,32,6,5,13,2019-03-09
Lakers,107,0.4835,0.1852,0.5185,8,35,28,4,4,12,2019-03-09
Celtics,115,0.4835,0.3889,0.3611,7,22,26,11,4,13,2019-03-11
Clippers,140,0.6163,0.4643,0.75,10,37,29,4,1,19,2019-03-11
Kings,120,0.5053,0.3235,0.3824,8,39,31,9,2,10,2019-03-14
Celtics,126,0.5052,0.3214,0.6786,10,42,32,7,2,13,2019-03-14
Nuggets,114,0.4894,0.359,0.2051,11,40,29,6,5,17,2019-03-18
Celtics,105,0.4194,0.3077,0.3846,12,25,24,12,5,12,2019-03-18
Celtics,115,0.4688,0.375,0.4062,10,36,22,1,3,8,2019-03-20
76ers,118,0.3778,0.3333,1.1818,17,37,23,5,5,8,2019-03-20
Celtics,117,0.4731,0.4419,0.2326,7,35,31,6,8,10,2019-03-23
Hornets,124,0.4421,0.4737,0.5789,14,39,26,7,5,11,2019-03-23
Spurs,115,0.5102,0.3333,0.2917,11,40,32,1,4,8,2019-03-24
Celtics,96,0.4043,0.2,0.3714,11,34,23,4,2,8,2019-03-24
Bucks,113,0.4941,0.4118,0.4412,11,46,26,5,4,21,2018-10-17
Hornets,112,0.4457,0.4211,0.3684,9,32,21,8,9,11,2018-10-17
Hornets,120,0.4674,0.4474,0.4474,12,43,32,6,4,15,2018-10-19
Magic,88,0.383,0.1935,0.3226,12,32,18,8,7,15,2018-10-19
Hornets,113,0.4409,0.381,0.3571,12,28,23,6,12,11,2018-10-20
Heat,112,0.4607,0.3235,0.5588,12,37,21,4,11,15,2018-10-20
Hornets,106,0.4227,0.3214,0.5357,14,27,21,5,5,12,2018-10-22
Raptors,127,0.5747,0.3846,0.3077,5,41,36,10,8,13,2018-10-22
Hornets,110,0.4353,0.2857,0.7429,8,28,23,5,5,6,2018-10-24
Bulls,112,0.4805,0.3448,0.9655,9,36,21,4,5,14,2018-10-24
Bulls,106,0.4353,0.4444,0.4444,8,26,21,5,7,13,2018-10-26
Hornets,135,0.5699,0.4375,0.4688,11,39,30,10,10,10,2018-10-26
Hornets,103,0.3895,0.2571,0.5714,9,39,19,3,8,9,2018-10-27
76ers,105,0.3846,0.3571,0.8929,14,42,18,4,8,11,2018-10-27
Heat,113,0.4713,0.3929,0.7143,10,24,25,9,5,15,2018-10-30
Hornets,125,0.5432,0.4643,0.8571,8,31,27,7,5,14,2018-10-30
Thunder,111,0.4271,0.2162,0.5676,14,35,20,12,9,10,2018-11-01
Hornets,107,0.4086,0.2683,0.4878,11,40,26,7,3,17,2018-11-01
Cavaliers,94,0.4321,0.3846,0.5385,3,23,22,10,2,13,2018-11-03
Hornets,126,0.5714,0.3333,0.4,12,38,29,3,7,15,2018-11-03
Hornets,132,0.3909,0.4,0.75,14,35,25,10,5,4,2018-11-09
76ers,133,0.4787,0.3243,0.8378,13,46,33,3,15,16,2018-11-09
Hornets,113,0.5059,0.3929,0.5714,6,40,24,6,8,12,2018-11-11
Pistons,103,0.3654,0.2727,0.3409,22,29,21,5,4,10,2018-11-11
Hornets,89,0.3474,0.1951,0.3659,12,25,22,12,4,9,2018-11-13
Cavaliers,113,0.5294,0.5417,0.4167,14,46,23,5,3,19,2018-11-13
76ers,122,0.4194,0.3143,0.9429,9,44,23,9,6,19,2018-11-17
Hornets,119,0.4242,0.3226,0.8065,9,40,23,10,3,17,2018-11-17
Pacers,109,0.4881,0.3333,0.4848,10,27,26,5,7,14,2018-11-21
Hornets,127,0.5625,0.6207,0.6552,6,30,30,7,3,12,2018-11-21
Hornets,104,0.4574,0.1935,0.3871,11,35,24,8,5,13,2018-11-23
Thunder,109,0.4409,0.3333,0.4848,11,35,24,6,2,14,2018-11-23
Bucks,107,0.4111,0.3478,0.3696,10,38,25,7,5,14,2018-11-26
Hornets,110,0.4691,0.4483,0.7241,5,39,21,9,5,11,2018-11-26
Jazz,119,0.5432,0.45,0.325,6,35,32,5,5,14,2018-11-30
Hornets,111,0.4947,0.3214,0.2857,7,31,19,8,3,8,2018-11-30
Pelicans,119,0.5116,0.3438,0.625,9,41,30,6,5,17,2018-12-02
Hornets,109,0.4286,0.2778,0.5833,11,30,25,9,6,11,2018-12-02
Hornets,104,0.4082,0.3636,0.3636,13,27,27,7,1,10,2018-12-05
Timberwolves,121,0.5393,0.5,0.5417,10,40,34,6,11,15,2018-12-05
Nuggets,107,0.3861,0.2286,0.6,20,35,24,6,12,9,2018-12-07
Hornets,113,0.3837,0.3714,0.9714,13,35,20,8,9,9,2018-12-07
Hornets,119,0.4828,0.3529,0.6765,6,36,19,11,4,12,2018-12-09
Knicks,107,0.4731,0.5,0.2308,8,33,28,5,2,17,2018-12-09
Pistons,107,0.4651,0.3824,0.4118,10,39,23,4,10,14,2018-12-12
Hornets,108,0.4118,0.3214,1.0357,6,36,21,7,5,7,2018-12-12
Knicks,126,0.4796,0.3529,0.5882,9,37,27,11,8,10,2018-12-14
Hornets,124,0.4706,0.4167,0.1667,9,42,38,7,5,16,2018-12-14
Lakers,128,0.5326,0.4118,0.4706,10,42,34,12,6,15,2018-12-15
Hornets,100,0.4239,0.2414,0.5172,9,29,22,3,6,18,2018-12-15
Cavaliers,99,0.4824,0.4348,0.3043,4,31,24,8,6,7,2018-12-19
Hornets,110,0.5109,0.4,0.24,13,38,24,4,5,12,2018-12-19
Pistons,86,0.3902,0.2353,0.4118,12,29,21,8,5,14,2018-12-21
Hornets,98,0.44,0.5,0.8333,11,32,19,7,5,16,2018-12-21
Hornets,126,0.5222,0.4194,0.6129,10,31,22,9,4,16,2018-12-29
Wizards,130,0.5161,0.3514,0.5676,9,33,35,8,6,12,2018-12-29
Magic,100,0.413,0.2857,0.4,13,35,22,6,5,11,2018-12-31
Hornets,125,0.4941,0.4583,1.25,6,40,29,8,1,8,2018-12-31
Mavericks,122,0.4632,0.4,0.3556,12,45,31,9,4,10,2019-01-02
Hornets,84,0.3556,0.1875,0.4375,12,34,23,4,3,14,2019-01-02
Hornets,110,0.4756,0.3793,0.7241,12,35,22,7,4,17,2019-01-05
Nuggets,123,0.4608,0.359,0.3846,17,29,30,10,6,7,2019-01-05
Hornets,119,0.4835,0.28,0.96,14,32,22,9,1,15,2019-01-06
Suns,113,0.5181,0.4,0.68,3,33,23,8,4,14,2019-01-06
Hornets,109,0.4,0.3636,0.7576,10,33,20,5,5,11,2019-01-08
Clippers,128,0.5161,0.4667,0.6,7,38,28,6,11,10,2019-01-08
Hornets,96,0.4,0.4333,0.3667,10,33,23,3,2,13,2019-01-11
Trail Blazers,127,0.5591,0.375,0.2,7,40,31,10,16,9,2019-01-11
Hornets,97,0.4091,0.3333,0.3611,13,43,21,6,11,18,2019-01-12
Kings,104,0.4141,0.3784,0.2162,12,37,27,8,5,11,2019-01-12
Hornets,108,0.4674,0.3611,0.25,8,37,24,7,4,7,2019-01-14
Spurs,93,0.4634,0.35,0.5,3,33,21,4,6,12,2019-01-14
Kings,95,0.4432,0.3333,0.1818,11,31,28,7,3,17,2019-01-17
Hornets,114,0.4483,0.2895,0.6579,12,34,21,11,4,13,2019-01-17
Suns,115,0.4483,0.3333,0.7879,7,19,21,7,7,7,2019-01-19
Hornets,135,0.5455,0.4706,0.6765,14,39,31,5,8,16,2019-01-19
Hornets,95,0.4024,0.3429,0.4857,7,37,20,5,6,16,2019-01-20
Pacers,120,0.47,0.5185,0.4444,12,39,34,10,7,8,2019-01-20
Hornets,118,0.5325,0.4,0.8,5,32,23,8,2,9,2019-01-23
Grizzlies,107,0.4691,0.2903,0.7097,6,32,25,8,3,10,2019-01-23
Hornets,99,0.4,0.2564,0.4359,12,41,20,4,2,17,2019-01-25
Bucks,108,0.4607,0.1935,0.6452,6,40,17,9,6,11,2019-01-25
Knicks,92,0.4,0.3043,0.7391,8,38,19,6,6,8,2019-01-28
Hornets,101,0.4149,0.3235,0.3529,13,38,25,4,10,10,2019-01-28
Grizzlies,92,0.4375,0.3103,0.4483,9,31,23,8,3,11,2019-02-01
Hornets,100,0.4384,0.4138,0.8276,6,34,15,6,7,12,2019-02-01
Bulls,118,0.5185,0.375,1.0417,8,31,20,4,2,10,2019-02-02
Hornets,125,0.5244,0.4375,0.7812,9,27,25,6,2,6,2019-02-02
Clippers,117,0.4828,0.75,0.625,8,40,25,1,6,11,2019-02-05
Hornets,115,0.4194,0.3571,0.5238,11,33,19,8,9,5,2019-02-05
Hornets,93,0.4045,0.2432,0.3243,8,39,17,9,9,14,2019-02-06
Mavericks,99,0.4043,0.3056,0.3333,15,42,25,8,5,13,2019-02-06
Hornets,90,0.3222,0.175,0.625,21,30,15,7,2,5,2019-02-11
Pacers,99,0.5135,0.32,0.6,5,34,25,3,3,12,2019-02-11
Hornets,89,0.3511,0.129,0.6129,13,32,18,6,4,8,2019-02-14
Magic,127,0.5217,0.4359,0.359,8,42,32,6,6,7,2019-02-14
Wizards,110,0.433,0.2564,0.4103,11,32,24,6,6,13,2019-02-22
Hornets,123,0.4792,0.3939,0.5455,11,42,26,7,6,13,2019-02-22
Warriors,121,0.5053,0.3415,0.2683,13,36,35,9,8,15,2019-02-25
Hornets,110,0.4396,0.2121,0.697,9,29,23,13,6,12,2019-02-25
Rockets,118,0.4615,0.3333,0.5385,7,30,23,11,3,10,2019-02-27
Hornets,113,0.4699,0.3636,0.697,8,40,25,9,5,18,2019-02-27
Trail Blazers,118,0.4479,0.3438,0.6562,13,35,26,9,3,11,2019-03-03
Hornets,108,0.4458,0.4242,0.6061,4,31,25,7,5,12,2019-03-03
Heat,91,0.4222,0.3462,0.2308,17,34,19,10,7,18,2019-03-06
Hornets,84,0.3659,0.3889,0.2778,10,30,22,7,4,19,2019-03-06
Wizards,111,0.4651,0.3333,0.8148,13,33,28,8,5,14,2019-03-08
Hornets,112,0.4167,0.3415,0.439,18,34,24,7,8,12,2019-03-08
Hornets,114,0.4731,0.3846,0.2821,6,29,25,4,2,12,2019-03-09
Bucks,131,0.4889,0.3864,0.5909,14,41,27,9,2,12,2019-03-09
Hornets,106,0.427,0.3902,0.3415,7,32,23,4,4,11,2019-03-11
Rockets,118,0.4176,0.3953,0.5814,12,43,25,7,4,14,2019-03-11
Hornets,116,0.4554,0.4516,0.3226,15,31,18,11,7,12,2019-03-15
Wizards,110,0.4881,0.3824,0.4412,8,37,25,8,5,17,2019-03-15
Hornets,75,0.3133,0.1944,0.4444,11,33,11,6,5,12,2019-03-17
Heat,93,0.3953,0.3939,0.3636,15,40,25,6,7,11,2019-03-17
76ers,118,0.5,0.3438,0.6562,6,38,29,5,4,7,2019-03-19
Hornets,114,0.4337,0.2571,0.9429,10,36,16,3,2,9,2019-03-19
Timberwolves,106,0.4432,0.3571,0.6429,9,40,23,6,7,13,2019-03-21
Hornets,113,0.43,0.3103,0.6207,15,40,26,5,6,10,2019-03-21
Hornets,115,0.4409,0.439,0.3659,14,25,32,12,3,7,2019-03-24
Raptors,114,0.5844,0.4231,0.5,3,32,29,6,11,13,2019-03-24
Bulls,108,0.4356,0.3333,0.2727,5,34,28,4,6,12,2018-10-18
76ers,127,0.4731,0.3333,0.75,11,44,30,10,8,13,2018-10-18
Pistons,118,0.4059,0.45,0.45,18,31,21,4,4,9,2018-10-20
Bulls,116,0.5057,0.3333,1.0,5,36,26,4,3,11,2018-10-20
Bulls,109,0.5125,0.5652,0.6087,7,27,18,6,4,19,2018-10-22
Mavericks,115,0.4301,0.3191,0.4255,13,28,25,8,2,15,2018-10-22
Warriors,149,0.5521,0.5333,0.4222,8,41,34,9,7,7,2018-10-29
Bulls,124,0.4894,0.3143,0.6,12,32,25,6,3,9,2018-10-29
Nuggets,108,0.4545,0.2692,0.4231,17,39,24,7,9,16,2018-10-31
Bulls,107,0.4239,0.4706,0.3824,10,33,27,7,6,13,2018-10-31
Pacers,107,0.4706,0.2692,0.7692,9,33,21,8,9,11,2018-11-02
Bulls,105,0.4719,0.4194,0.2581,11,32,33,2,7,14,2018-11-02
Rockets,96,0.4217,0.3095,0.3095,10,35,21,13,5,18,2018-11-03
Bulls,88,0.3944,0.2609,1.1304,4,33,15,13,4,19,2018-11-03
Bulls,116,0.4526,0.2667,0.7333,11,37,15,9,9,19,2018-11-05
Knicks,115,0.3868,0.2692,1.0,21,41,20,7,6,17,2018-11-05
Bulls,98,0.3958,0.2903,0.4194,7,39,18,9,7,11,2018-11-07
Pelicans,107,0.4468,0.3667,0.4,11,44,32,5,10,15,2018-11-07
Cavaliers,98,0.4286,0.381,0.5714,15,38,15,5,6,12,2018-11-10
Bulls,99,0.4756,0.3889,0.7778,5,33,20,7,5,11,2018-11-10
Mavericks,103,0.4684,0.303,0.5758,7,42,18,11,7,19,2018-11-12
Bulls,98,0.3933,0.2424,0.6061,8,37,16,11,3,17,2018-11-12
Bulls,104,0.4362,0.3939,0.2727,4,32,22,8,3,12,2018-11-16
Bucks,123,0.5054,0.4186,0.2558,11,44,28,8,8,16,2018-11-16
Raptors,122,0.5393,0.4,0.3429,8,46,31,14,10,23,2018-11-17
Bulls,83,0.3488,0.2963,0.5556,7,27,21,13,3,22,2018-11-17
Suns,116,0.4898,0.2941,0.2941,6,30,28,9,5,13,2018-11-21
Bulls,124,0.5679,0.44,0.84,4,35,28,8,2,17,2018-11-21
Heat,103,0.4253,0.2941,0.5588,10,38,20,10,11,14,2018-11-23
Bulls,96,0.3723,0.25,0.6786,11,40,23,8,6,17,2018-11-23
Bulls,96,0.3951,0.303,0.6667,6,34,22,7,4,13,2018-11-24
Timberwolves,111,0.4078,0.2059,0.5882,21,38,22,7,5,13,2018-11-24
Spurs,108,0.4839,0.3333,0.2667,7,39,29,7,2,10,2018-11-26
Bulls,107,0.4667,0.4242,0.2727,5,38,23,6,5,11,2018-11-26
Bulls,113,0.4494,0.2973,0.5946,9,36,28,9,3,11,2018-11-28
Bucks,116,0.4943,0.3429,0.5143,8,40,29,6,8,12,2018-11-28
Bulls,88,0.4302,0.1429,0.5238,7,33,25,5,7,15,2018-11-30
Pistons,107,0.4457,0.3824,0.3529,13,39,24,5,5,13,2018-11-30
Bulls,105,0.4432,0.25,0.5938,7,34,15,11,6,13,2018-12-01
Rockets,121,0.5,0.3902,0.5122,6,41,23,8,7,14,2018-12-01
Bulls,90,0.3936,0.3548,0.1613,12,32,26,8,2,18,2018-12-04
Pacers,96,0.4605,0.2727,0.9091,6,39,22,10,6,18,2018-12-04
Thunder,112,0.4574,0.3571,0.5714,14,37,25,12,6,22,2018-12-07
Bulls,114,0.5244,0.48,0.64,5,34,25,15,6,20,2018-12-07
Kings,108,0.4545,0.4324,0.3243,10,32,28,16,4,16,2018-12-10
Bulls,89,0.4474,0.2857,0.4643,7,33,16,10,3,27,2018-12-10
Bulls,91,0.4789,0.5556,0.7222,1,32,18,10,4,18,2018-12-13
Magic,97,0.4146,0.3333,0.5455,9,34,23,8,6,16,2018-12-13
Bulls,98,0.4302,0.2069,0.6207,8,32,16,12,8,7,2018-12-15
Spurs,93,0.4384,0.3333,1.0476,7,34,18,3,5,15,2018-12-15
Bulls,96,0.4471,0.3636,0.5455,13,28,20,10,7,23,2018-12-17
Thunder,121,0.4831,0.381,1.2857,17,32,24,14,2,19,2018-12-17
Magic,80,0.3256,0.2424,0.4848,13,34,20,4,5,8,2018-12-21
Bulls,90,0.44,0.2941,1.1176,9,41,23,5,6,7,2018-12-21
Bulls,112,0.5513,0.5,0.6818,7,36,26,7,3,11,2018-12-23
Cavaliers,92,0.4524,0.3043,0.3913,7,24,11,5,2,11,2018-12-23
Timberwolves,119,0.4946,0.3438,0.5,12,40,26,4,1,11,2018-12-26
Bulls,94,0.4105,0.2609,0.4348,12,33,22,6,5,10,2018-12-26
Bulls,101,0.4684,0.3636,0.8636,7,39,20,9,6,10,2018-12-28
Wizards,92,0.4,0.3,0.5,8,32,22,7,6,12,2018-12-28
Bulls,89,0.4125,0.35,0.8,7,37,16,7,2,16,2018-12-30
Raptors,95,0.3696,0.2727,0.5455,17,35,17,5,8,11,2018-12-30
Magic,112,0.5789,0.4231,0.5,4,37,31,5,9,13,2019-01-02
Bulls,84,0.4186,0.35,0.25,5,27,18,8,0,11,2019-01-02
Pacers,119,0.5269,0.3214,0.4286,9,31,25,7,3,13,2019-01-04
Bulls,116,0.5165,0.4286,0.3571,8,32,30,10,2,17,2019-01-04
Bulls,112,0.4624,0.4091,0.7727,10,27,22,5,3,12,2019-01-09
Trail Blazers,124,0.5663,0.4231,0.7308,6,37,28,6,7,16,2019-01-09
Bulls,109,0.4487,0.45,1.5,5,24,16,9,1,13,2019-01-11
Warriors,146,0.5761,0.4615,0.5641,11,38,38,6,8,12,2019-01-11
Bulls,102,0.4124,0.28,0.6,10,37,24,8,7,9,2019-01-12
Jazz,110,0.4318,0.3556,0.4,10,42,23,6,11,13,2019-01-12
Bulls,100,0.4022,0.2903,0.5484,13,33,21,11,6,13,2019-01-15
Lakers,107,0.4634,0.3077,0.8846,13,38,21,7,4,17,2019-01-15
Bulls,105,0.4731,0.3571,0.25,16,29,27,3,3,12,2019-01-17
Nuggets,135,0.5208,0.5,0.375,13,32,34,6,2,7,2019-01-17
Heat,117,0.5696,0.4062,0.4375,7,39,27,5,6,17,2019-01-19
Bulls,103,0.3933,0.4444,0.7778,12,31,19,9,1,13,2019-01-19
Bulls,104,0.4737,0.5,0.5667,8,42,24,8,2,18,2019-01-21
Cavaliers,88,0.3563,0.2222,0.7407,11,27,16,8,4,14,2019-01-21
Clippers,106,0.4634,0.381,1.0476,5,45,27,3,4,16,2019-01-25
Bulls,101,0.3922,0.2857,0.3143,12,37,20,11,5,8,2019-01-25
Cavaliers,104,0.4239,0.3824,0.3824,12,40,26,5,3,8,2019-01-27
Bulls,101,0.4432,0.3462,0.5385,8,39,22,5,8,10,2019-01-27
Bulls,105,0.5128,0.4211,0.8947,5,35,26,6,3,12,2019-01-30
Heat,89,0.382,0.2857,0.2143,15,32,22,6,2,14,2019-01-30
Pelicans,125,0.5294,0.4286,0.5714,14,32,26,1,6,11,2019-02-06
Bulls,120,0.4945,0.4444,0.3889,9,27,27,8,6,8,2019-02-06
Wizards,134,0.5789,0.4444,0.4444,6,33,38,6,6,13,2019-02-09
Bulls,125,0.5052,0.2609,0.913,14,31,28,7,5,11,2019-02-09
Bucks,112,0.475,0.3158,0.6316,5,44,24,6,7,17,2019-02-11
Bulls,99,0.3854,0.3214,0.5714,9,36,24,8,2,13,2019-02-11
Grizzlies,110,0.4831,0.3548,0.4194,6,26,33,9,5,8,2019-02-13
Bulls,122,0.5625,0.4,1.2,9,37,28,2,3,14,2019-02-13
Bulls,110,0.4444,0.4138,0.6207,6,33,18,8,4,8,2019-02-22
Magic,109,0.5062,0.4118,0.3824,8,38,25,4,6,14,2019-02-22
Bucks,117,0.4615,0.3469,0.3265,8,37,26,3,6,8,2019-02-25
Bulls,106,0.4457,0.3462,0.5769,6,35,31,3,3,7,2019-02-25
Bulls,109,0.4756,0.3333,0.9583,7,35,20,12,9,15,2019-02-27
Grizzlies,107,0.4362,0.3333,0.5926,12,34,25,7,5,16,2019-02-27
Bulls,96,0.3871,0.16,0.8,15,34,16,7,7,9,2019-03-05
Pacers,105,0.4524,0.44,0.72,11,39,19,6,9,12,2019-03-05
76ers,107,0.4598,0.3333,0.7917,13,33,22,10,5,15,2019-03-06
Bulls,108,0.4409,0.2609,0.8696,16,31,21,7,3,13,2019-03-06
Pistons,112,0.5422,0.3333,0.4815,7,34,23,5,9,15,2019-03-08
Bulls,104,0.5122,0.2941,0.8824,8,27,20,9,4,16,2019-03-08
Bulls,108,0.5,0.5,0.9444,6,31,18,4,5,10,2019-03-10
Pistons,131,0.5385,0.5429,0.4,10,34,34,5,1,7,2019-03-10
Lakers,123,0.5465,0.3939,0.4848,5,36,23,11,5,13,2019-03-12
Bulls,107,0.4615,0.4074,0.4444,11,33,23,6,0,16,2019-03-12
Bulls,121,0.525,0.5238,1.2381,8,36,24,3,6,16,2019-03-15
Clippers,128,0.4444,0.5,1.5,15,28,28,9,5,7,2019-03-15
Bulls,102,0.4432,0.3846,0.5385,10,29,20,6,6,19,2019-03-17
Kings,129,0.5243,0.3478,0.5652,15,33,28,12,7,10,2019-03-17
Bulls,116,0.5169,0.25,1.25,11,38,21,9,4,13,2019-03-18
Suns,101,0.4643,0.2692,0.6154,9,29,24,5,5,12,2019-03-18
Wizards,120,0.4731,0.3333,0.4286,12,38,25,10,9,16,2019-03-20
Bulls,126,0.4717,0.5217,0.6087,15,33,29,10,2,13,2019-03-20
Jazz,114,0.4842,0.3438,0.3438,12,46,27,7,8,11,2019-03-23
Bulls,83,0.3587,0.125,0.9375,11,34,16,6,3,12,2019-03-23
Cavaliers,104,0.4,0.3684,1.5263,14,35,17,4,0,16,2018-10-17
Raptors,116,0.4891,0.4242,0.3636,8,35,21,6,7,9,2018-10-17
Cavaliers,123,0.4839,0.3478,1.087,13,30,26,5,2,14,2018-10-19
Timberwolves,131,0.5057,0.4,1.32,9,31,28,9,7,13,2018-10-19
Cavaliers,103,0.4607,0.3333,0.5417,7,23,18,11,1,9,2018-10-25
Pistons,110,0.5256,0.3929,0.6071,13,35,21,4,5,20,2018-10-25
Pacers,119,0.6486,0.3846,1.3846,4,20,28,13,3,15,2018-10-27
Cavaliers,107,0.4651,0.28,0.8,16,23,21,9,2,15,2018-10-27
Nuggets,110,0.4824,0.3846,0.6923,14,30,22,8,7,12,2018-11-01
Cavaliers,91,0.4096,0.2778,1.0,13,22,18,11,4,13,2018-11-01
Cavaliers,100,0.5125,0.4348,0.3478,8,34,20,8,2,18,2018-11-05
Magic,102,0.4483,0.3235,0.3824,10,30,22,11,5,15,2018-11-05
Thunder,95,0.4167,0.2593,0.6667,7,37,10,13,9,12,2018-11-07
Cavaliers,86,0.3708,0.2903,0.3548,12,39,17,3,4,19,2018-11-07
Cavaliers,95,0.4545,0.1905,1.0,9,33,22,12,6,23,2018-11-14
Wizards,119,0.4783,0.325,0.45,12,32,30,17,3,18,2018-11-14
Cavaliers,102,0.443,0.381,1.1429,11,25,16,8,3,9,2018-11-19
Pistons,113,0.4607,0.3421,0.4737,13,37,26,5,4,10,2018-11-19
