team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Hawks,101,0.4598,0.3704,0.4074,13,37,22,12,2,26,2019-01-08
Raptors,104,0.4625,0.3125,0.625,6,33,26,18,7,18,2019-01-08
Hawks,100,0.3636,0.1714,0.6286,18,34,17,8,6,19,2019-01-09
Nets,116,0.4526,0.3333,0.6667,18,36,21,10,9,18,2019-01-09
Hawks,123,0.5556,0.48,0.84,15,29,27,7,4,21,2019-01-11
76ers,121,0.5172,0.3333,0.6061,11,19,31,13,4,15,2019-01-11
Bucks,133,0.5326,0.3667,0.8,8,31,28,13,4,14,2019-01-13
Hawks,114,0.4062,0.3158,0.6316,18,36,19,3,5,24,2019-01-13
Thunder,126,0.4574,0.2812,0.9688,15,25,22,16,3,12,2019-01-15
Hawks,142,0.6222,0.4865,0.3243,10,34,36,8,4,18,2019-01-15
Celtics,113,0.4432,0.375,0.7188,11,32,19,10,8,15,2019-01-19
Hawks,105,0.4348,0.2927,0.3171,13,36,28,8,6,20,2019-01-19
Magic,122,0.5055,0.3793,0.6552,9,36,29,8,8,11,2019-01-21
Hawks,103,0.4535,0.3,0.5333,9,35,23,5,3,13,2019-01-21
Hawks,121,0.5,0.375,0.4,16,35,31,11,2,17,2019-01-23
Bulls,101,0.443,0.3077,0.8846,7,30,20,7,6,15,2019-01-23
Hawks,111,0.4565,0.3636,0.4545,9,27,24,9,7,10,2019-01-26
Trail Blazers,120,0.5,0.3667,0.9,11,36,26,8,7,18,2019-01-26
Hawks,123,0.5057,0.2941,0.7353,15,29,28,7,6,17,2019-01-28
Clippers,118,0.4824,0.3704,0.963,13,25,27,10,4,16,2019-01-28
Hawks,113,0.4419,0.3478,0.4565,9,27,24,7,3,20,2019-01-30
Kings,135,0.5455,0.3143,0.4571,15,38,36,7,2,14,2019-01-30
Hawks,112,0.398,0.3043,0.4348,8,32,23,11,4,11,2019-02-01
Jazz,128,0.5287,0.3429,0.6857,11,40,31,4,6,15,2019-02-01
Hawks,118,0.5119,0.4375,0.5625,16,37,21,6,5,24,2019-02-02
Suns,112,0.4688,0.375,0.3125,10,27,31,15,5,10,2019-02-02
Hawks,137,0.5055,0.5,0.625,14,36,29,7,2,12,2019-02-04
Wizards,129,0.4948,0.3158,0.5526,13,27,34,5,8,8,2019-02-04
Raptors,119,0.4598,0.325,0.65,12,38,29,6,2,8,2019-02-07
Hawks,101,0.45,0.4571,0.3714,8,34,25,5,3,17,2019-02-07
Hornets,129,0.5455,0.4524,0.3333,10,27,30,12,7,13,2019-02-09
Hawks,120,0.5349,0.4242,0.4242,10,26,26,10,3,18,2019-02-09
Magic,124,0.4725,0.3514,0.6757,11,38,29,4,9,8,2019-02-10
Hawks,108,0.4625,0.4062,0.6562,5,28,27,5,6,11,2019-02-10
Lakers,113,0.4316,0.35,0.425,10,34,25,10,6,15,2019-02-12
Hawks,117,0.4348,0.381,0.5,6,41,29,8,6,20,2019-02-12
Knicks,106,0.4524,0.3871,0.5806,11,41,21,9,9,14,2019-02-14
Hawks,91,0.3626,0.2632,0.3947,10,31,19,8,4,12,2019-02-14
Pistons,125,0.4842,0.375,0.45,10,34,20,11,4,8,2019-02-22
Hawks,122,0.4886,0.4762,0.381,10,37,21,6,4,18,2019-02-22
Suns,112,0.4409,0.3514,0.4595,6,35,25,9,4,12,2019-02-23
Hawks,120,0.413,0.3636,0.9697,12,38,22,8,9,13,2019-02-23
Hawks,111,0.4875,0.4474,0.4211,10,31,21,6,6,17,2019-02-25
Rockets,119,0.4333,0.2941,0.5098,12,25,24,11,4,12,2019-02-25
Timberwolves,123,0.4314,0.3158,0.6053,9,38,29,8,7,6,2019-02-27
Hawks,131,0.4259,0.4138,0.931,18,47,32,1,6,12,2019-02-27
Bulls,168,0.4706,0.4375,0.7292,11,51,30,10,5,16,2019-03-01
Hawks,161,0.4959,0.3667,0.2833,9,50,33,11,8,20,2019-03-01
Hawks,123,0.4719,0.5,0.4286,11,35,30,10,5,13,2019-03-03
Bulls,118,0.5109,0.2963,0.5926,9,33,25,6,5,14,2019-03-03
Hawks,113,0.4176,0.3696,0.4348,16,26,25,9,2,14,2019-03-04
Heat,114,0.557,0.3913,0.7391,7,33,23,9,7,18,2019-03-04
Spurs,111,0.4944,0.303,0.3939,6,43,27,4,9,16,2019-03-06
Hawks,104,0.3913,0.3023,0.4419,11,36,21,8,2,14,2019-03-06
Nets,114,0.3837,0.3409,0.75,15,39,21,7,3,14,2019-03-09
Hawks,112,0.3714,0.1951,0.6341,18,39,22,7,2,10,2019-03-09
Pelicans,116,0.4455,0.439,0.1951,5,37,29,6,9,8,2019-03-10
Hawks,128,0.4898,0.4595,0.4054,10,46,30,4,5,9,2019-03-10
Grizzlies,111,0.427,0.35,0.525,9,26,28,8,6,14,2019-03-13
Hawks,132,0.5049,0.3778,0.2444,15,36,35,9,9,11,2019-03-13
Hawks,120,0.43,0.375,0.475,19,31,27,11,5,17,2019-03-16
Celtics,129,0.4731,0.3611,0.7778,11,35,30,10,7,14,2019-03-16
Hawks,91,0.4176,0.2286,0.2,8,42,20,8,3,18,2019-03-17
Magic,101,0.3882,0.2432,0.7027,10,45,21,12,3,14,2019-03-17
Rockets,121,0.5128,0.4043,0.4681,6,31,28,13,2,14,2019-03-19
Hawks,105,0.4643,0.375,0.3,8,37,30,6,1,19,2019-03-19
Jazz,114,0.4574,0.3125,0.5625,14,35,25,12,3,15,2019-03-21
Hawks,117,0.4713,0.475,0.4,9,34,26,8,5,16,2019-03-21
76ers,127,0.4615,0.4348,1.4348,14,38,21,7,4,13,2019-03-23
Hawks,129,0.4623,0.3191,0.3404,15,34,28,8,7,12,2019-03-23
Nets,100,0.4878,0.1852,0.5556,5,34,28,9,5,17,2018-10-17
Pistons,103,0.4239,0.25,0.7917,14,32,21,5,5,14,2018-10-17
Knicks,105,0.4021,0.3214,0.6429,12,24,14,10,1,3,2018-10-19
Nets,107,0.4933,0.4,0.7,12,43,22,2,6,22,2018-10-19
Nets,112,0.4767,0.4324,0.3784,9,31,25,6,6,20,2018-10-20
Pacers,132,0.5543,0.6667,0.5833,10,30,21,12,5,10,2018-10-20
Nets,102,0.4368,0.4118,0.3529,8,36,23,8,1,14,2018-10-24
Cavaliers,86,0.382,0.1667,0.8333,16,37,18,5,2,15,2018-10-24
Nets,115,0.4388,0.475,0.25,16,38,26,6,8,18,2018-10-26
Pelicans,117,0.449,0.3913,0.8696,15,31,23,11,11,11,2018-10-26
Warriors,120,0.4944,0.3333,0.6364,12,35,28,11,7,12,2018-10-28
Nets,114,0.4828,0.4762,0.2381,5,32,28,5,3,15,2018-10-28
Nets,96,0.4048,0.2895,0.4474,11,21,22,6,7,10,2018-10-29
Knicks,115,0.4891,0.375,0.6667,16,37,21,5,3,13,2018-10-29
Pistons,119,0.4194,0.3235,0.8824,14,41,16,8,6,16,2018-10-31
Nets,120,0.4257,0.3158,0.5789,18,37,26,5,3,16,2018-10-31
Rockets,119,0.494,0.3846,0.5641,11,30,22,4,10,9,2018-11-02
Nets,111,0.4941,0.4412,0.3529,9,29,22,5,4,10,2018-11-02
